"Category","Country/ State/ UT Name","Year","Cattle","Buffaloes","Sheep","Goats","Pigs","Horses and Ponies","Mules","Donkeys","Camels","Yaks","Mithuns","Total Livestock","Total Poultry"
"Country","India","2003","185181","97922","61469","124358","13519","751","176","650","632","65","278","485002","489012"
"Country","India","2007","199075","105342","71558","140537","11133","612","137","438","517","83","264","529696","648829"
"Country","India","2012","190904","108702","65069","135173","10294","625","196","319","400","77","298","512057","729209"
"State","Andhra Pradesh","2012","9595.94","10622.79","26395.58","9071.22","394.36","5.19","0.74","13.43","0.15","0","0","56099.41","161333.93"
"State","Arunachal Pradesh","2012","463.76","5.97","13.55","305.54","356.35","4.03","0.33","0.04","0.05","14.06","249","1412.67","2244.23"
"State","Assam","2012","10307.6","435.27","518.07","6169.19","1636.02","14.15","0.09","1.05","0.73","0","0","19082.17","27216.17"
"State","Bihar","2012","12231.52","7567.23","232.47","12153.52","649.71","48.85","25.06","21.38","8.86","0","0","32938.6","12748.05"
"State","Chhattisgarh","2012","9814.9","1390.55","168.22","3225.31","439.06","2.96","1.62","0.68","0.65","0","0","15043.94","23102.16"
"State","Goa","2012","57.48","31.8","0.02","12.96","43.57","0.03","0","0","0","0","0","145.85","292.03"
"State","Gujarat","2012","9983.95","10385.57","1707.75","4958.97","4.28","18.26","0.16","38.83","30.42","0","0","27128.2","15005.75"
"State","Haryana","2012","1808.12","6085.31","1362.62","369.12","126.95","36.66","9.01","2.9","18.85","0","0","8819.52","42821.35"
"State","Himachal Pradesh","2012","2149.26","716.02","804.87","1119.49","5.03","15.08","23.32","7.35","0.18","2.92","0.92","4844.43","1104.48"
"State","Jammu & Kashmir","2012","2798.33","738.99","3389.49","2017.9","2.42","144.49","36.51","17.25","0.93","54.49","0.06","9200.84","8273.71"
"State","Jharkhand","2012","8730.08","1185.94","582.93","6581.45","962.37","5.71","3.89","0.38","0","0","0","18052.75","13559.53"
"State","Karnataka","2012","9516.48","3470.51","9583.76","4796.15","304.8","12.98","0.76","16.31","0.15","0","0","27701.9","53442.03"
"State","Kerala","2012","1328","102.27","1.45","1246.08","55.78","0.22","0.23","0.5","0.01","0","0","2735.16","24281.93"
"State","Madhya Pradesh","2012","19602.37","8187.99","308.95","8013.94","175.25","18.8","6.99","14.92","3.42","0","0","36332.63","11904.72"
"State","Maharashtra","2012","15484.21","5594.39","2580.38","8435.31","325.76","37.29","2.01","29.14","0.18","0","0","32488.65","77794.57"
"State","Manipur","2012","263.84","66.37","11.46","65.16","277.22","1.1","0.37","0.13","0","0","10.13","695.77","2499.52"
"State","Meghalaya","2012","896","22.06","20.1","473.07","543.38","2.31","0.18","0.52","0.01","0","0","1957.63","3400.03"
"State","Mizoram","2012","34.57","5.17","0.65","22.21","245.24","0.72","0.01","0","0","0","3.29","311.86","1271.35"
"State","Nagaland","2012","234.97","32.72","3.84","99.35","503.69","0.47","1.12","0.04","0.09","0","34.87","911.16","2178.47"
"State","Odisha","2012","11621.27","726.31","1581.13","6513.09","280.32","3.4","5.63","0.52","0.84","0","0","20732.5","19890.54"
"State","Punjab","2012","2427.71","5159.73","128.53","327.27","32.22","32.86","5.16","2.91","0.69","0","0","8117.1","16794.08"
"State","Rajasthan","2012","13324.46","12976.1","9079.7","21665.94","237.67","37.78","3.38","81.47","325.71","0","0","57732.2","8024.42"
"State","Sikkim","2012","140.47","0.7","2.63","113.36","29.91","0.51","0","0","0","4.04","0","291.63","451.97"
"State","Tamil Nadu","2012","8814.04","780.43","4786.68","8143.34","183.98","5.3","0","9.18","0.02","0","0","22722.98","117348.89"
"State","Tripura","2012","948.79","10.81","3.11","610.92","362.53","0.01","0","0","0","0","0","1936.18","4272.73"
"State","Uttar Pradesh","2012","19557.07","30625.33","1353.65","15585.62","1334.39","151.85","42.66","56.64","7.94","0","0","68715.15","18667.83"
"State","Uttarakhand","2012","2006.05","987.78","368.76","1367.41","19.91","16.36","26.9","1.51","0","0.06","0","4794.73","4641.94"
"State","West Bengal","2012","16514.24","597.38","1076.12","11505.95","648.11","4.41","0.11","0.61","0.27","1.09","0","30348.28","52837.58"
"Union Territory","A & N Island","2012","45.63","7.86","0","65.32","35.92","0.01","0","0","0","0","0","154.75","1165.36"
"Union Territory","Chandigarh","2012","8.96","14.03","0.07","0.81","0.14","0.19","0.01","0","0","0","0","24.2","108.72"
"Union Territory","Dadra & Nagar Haveli","2012","41.87","4.06","0.12","4.17","0","0.01","0","0","0","0","0","50.24","85.97"
"Union Territory","Daman & Diu","2012","2.1","0.43","0","2.06","0.01","0.03","0","0","0","0","0","4.63","28.2"
"Union Territory","Delhi","2012","86.43","162.14","0.93","30.47","76.35","2.69","0.14","1.09","0.16","0","0","360.4","43.83"
"Union Territory","Lakshadweep","2012","3.1","0","0","46.5","0","0","0","0","0","0","0","49.6","164.54"
